candidate,party,district,predicted_votes_in_2023_elections,predicted_elected,election_result,votes_in_2023_elections,age,sex
Alenius Sinikka,SDP,SAT,1211.5521,1,NOT_ELECTED,1094,70,1
Pirinen Maarit,SDP,SAT,1072.1027,1,NOT_ELECTED,1406,35,1
Jokinen-Anttila Leena,SDP,SAT,1065.6599,1,NOT_ELECTED,1169,51,1
Uusitalo Jouni,SDP,SAT,965.1683,1,NOT_ELECTED,1272,47,0
Ryynänen Joonas,SDP,SAT,962.8316,1,NOT_ELECTED,729,36,0
Santanen Johanna,SDP,SAT,895.713,0,NOT_ELECTED,490,51,1
Kauramäki Kai,SDP,SAT,678.7219,0,NOT_ELECTED,938,55,0
Lukka Heli,SDP,SAT,655.52966,1,NOT_ELECTED,695,60,1
Susi Ida,RKP,SAT,237.57677,0,NOT_ELECTED,333,38,1
Lundström Tomas,RKP,SAT,176.67181,0,NOT_ELECTED,55,52,0
Järvinen Juhani,RKP,SAT,160.59538,0,NOT_ELECTED,29,74,0
Huhtasaari Laura,PS,SAT,15588.734,1,ELECTED,8393,44,1
Koskela Jari,PS,SAT,4313.649,1,ELECTED,5213,67,0
Huru Petri,PS,SAT,3664.6096,1,ELECTED,6208,56,0
Määttä Jasmin,PS,SAT,2184.6216,1,NOT_ELECTED,1368,30,1
Sakari Heidi,PS,SAT,1676.5594,1,NOT_ELECTED,1986,36,1
Immonen Niina,PS,SAT,1353.6893,1,ON_SUBSTITUTE_PLACE,2192,43,1
Mäenranta Pasi,PS,SAT,1116.0598,1,NOT_ELECTED,1592,59,0
Nurmi Arto,PS,SAT,1064.8547,1,NOT_ELECTED,825,49,0
Sarin Jyri,PS,SAT,962.4903,1,NOT_ELECTED,1021,45,0
Stenman Tiina,PS,SAT,944.2659,1,NOT_ELECTED,681,54,1
Mäkinen Markus,PS,SAT,772.98456,1,NOT_ELECTED,286,38,0
Raja-Aho Jooa,PS,SAT,753.7089,0,NOT_ELECTED,934,48,0
Ojala-Seppä Soile,PS,SAT,739.7735,1,NOT_ELECTED,750,58,1
Koivunen Minna,PS,SAT,590.2759,1,NOT_ELECTED,426,59,1
Warén Christer,PIR,SAT,107.09148,0,NOT_ELECTED,62,25,0
Lahto Christa,LIIK,SAT,922.41583,1,NOT_ELECTED,1069,40,1
Viinamäki Niko,LIIK,SAT,426.57434,0,NOT_ELECTED,280,37,0
Varis Kari,LIIK,SAT,161.23483,0,NOT_ELECTED,112,44,0
Salminen Krista,LIIK,SAT,134.10707,0,NOT_ELECTED,159,34,1
Kalliomäki Kimmo,LIIK,SAT,131.93147,0,NOT_ELECTED,81,40,0
Tapper Kim,LIIK,SAT,128.6884,0,NOT_ELECTED,48,44,0
Lehtelä Vili,LIIK,SAT,119.36923,0,NOT_ELECTED,175,26,0
Serén Jussi,LIIK,SAT,119.13821,0,NOT_ELECTED,24,50,0
Gröhn Jouni,LIIK,SAT,98.40053,0,NOT_ELECTED,45,61,0
Haapaniemi Jari,LIIK,SAT,91.962906,0,NOT_ELECTED,105,68,0
Marttinen Matias,KOK,SAT,5900.018,1,ELECTED,7618,32,0
Kaunistola Mari,KOK,SAT,3387.4697,1,ELECTED,3030,43,1
Ropo Mikael,KOK,SAT,2427.5547,1,ON_SUBSTITUTE_PLACE,1678,30,0
Holmlund Anne,KOK,SAT,1896.668,1,NOT_ELECTED,1627,58,1
Rautanen Maria,KOK,SAT,1468.2504,1,NOT_ELECTED,1356,49,1
Heijari Eerik,KOK,SAT,1292.2976,1,NOT_ELECTED,1276,43,0
Välimäki Viliina,KOK,SAT,1010.6467,0,NOT_ELECTED,684,31,1
Ihamäki Jussi,KOK,SAT,961.8015,1,NOT_ELECTED,967,46,0
Palenius Henrika,KOK,SAT,913.5116,0,NOT_ELECTED,128,33,1
Tormas Anni,KOK,SAT,654.68634,0,NOT_ELECTED,356,38,1
Korpela Mikko,KOK,SAT,598.59875,0,NOT_ELECTED,260,46,0
Sirola Teija,KOK,SAT,527.9366,1,NOT_ELECTED,283,43,1
Rantala Roope,KOK,SAT,497.8063,0,NOT_ELECTED,358,20,0
Lehtimäki Jouni,KOK,SAT,474.209,1,NOT_ELECTED,760,58,0
Kalli Eeva,KESK,SAT,5161.8257,1,ELECTED,7930,42,1
Uusitalo Mikko,KESK,SAT,3621.9805,1,ON_SUBSTITUTE_PLACE,3817,43,0
Kantola Juha,KESK,SAT,1272.6903,1,NOT_ELECTED,486,43,0
Haikkonen Aila,KESK,SAT,1191.5958,0,NOT_ELECTED,651,60,1
Immonen Joonas,KESK,SAT,1044.9022,1,NOT_ELECTED,1133,23,0
Vähä-Ettala Niklas,KESK,SAT,917.73816,0,NOT_ELECTED,257,35,0
Hakala Vilho,KESK,SAT,708.54724,1,NOT_ELECTED,378,26,0
Vaitomaa Marja,KESK,SAT,656.69696,1,NOT_ELECTED,528,59,1
Nikula-Häkli Tuula,KESK,SAT,631.2763,0,NOT_ELECTED,321,63,1
Viljanen Jonna,KESK,SAT,609.85895,0,NOT_ELECTED,89,18,1
Kuuskoski Eveliina,KESK,SAT,535.7294,0,NOT_ELECTED,122,35,1
Lepistö Jari,KESK,SAT,501.83868,0,NOT_ELECTED,484,49,0
Koski Pasi,KESK,SAT,470.13455,0,NOT_ELECTED,216,68,0
Pohjankivi Katri,KESK,SAT,467.5632,0,NOT_ELECTED,225,34,1
Korpela Simo,KD,SAT,1345.008,1,NOT_ELECTED,790,72,0
Juntunen Marketta,KD,SAT,519.118,1,NOT_ELECTED,552,72,1
Lindeman Allan,KD,SAT,239.9241,0,NOT_ELECTED,282,41,0
Vähäkainu Johanna,KD,SAT,174.19394,0,NOT_ELECTED,138,36,1
Huhtala Tiina,KD,SAT,170.8493,0,NOT_ELECTED,340,59,1
Kivelä Varpu,KD,SAT,164.03369,0,NOT_ELECTED,250,44,1
Rantanen Elias,KD,SAT,157.25424,0,NOT_ELECTED,156,67,0
Flyktig Emmi,KD,SAT,152.35023,0,NOT_ELECTED,143,35,1
Nurmi Minna,KD,SAT,149.10716,0,NOT_ELECTED,273,44,1
Järvenpää Vesa,KD,SAT,139.93533,0,NOT_ELECTED,123,42,0
Rintanen Tuuli,KD,SAT,138.22871,0,NOT_ELECTED,120,67,1
Vuola Miika,KD,SAT,129.37076,0,NOT_ELECTED,183,71,0
Rantanen Maarit,KD,SAT,127.5267,0,NOT_ELECTED,368,58,1
Lehtinen Ari,KD,SAT,124.75539,0,NOT_ELECTED,120,58,0
Dzene Kristine,VJ,AHV,240.92767,1,NOT_ELECTED,87,33,1
Löthman Henrik,VJ,AHV,161.23483,1,NOT_ELECTED,157,43,0
Zekaj Arsim,VJ,AHV,131.93147,1,NOT_ELECTED,64,40,0
Fellman Nina,VJ,AHV,128.91046,1,NOT_ELECTED,615,58,1
Wikström Christian,OBS,AHV,216.20728,1,NOT_ELECTED,96,36,0
Måtar Marcus,OBS,AHV,156.58655,1,NOT_ELECTED,294,49,0
Häggblom Ted,OBS,AHV,131.93147,1,NOT_ELECTED,98,39,0
Svensson Jannik,OBS,AHV,119.36923,1,NOT_ELECTED,26,29,0
Röblom Alfons,HI,AHV,313.52463,1,NOT_ELECTED,140,39,0
Holmström Simon,HI,AHV,169.13074,1,NOT_ELECTED,157,29,0
Widén Pia,HI,AHV,159.01385,1,NOT_ELECTED,109,47,1
Scott Erika,HI,AHV,116.690094,1,NOT_ELECTED,88,52,1
Löfström Mats,FÅ,AHV,11533.566,1,ELECTED,10516,39,0
Valve Wille,FÅ,AHV,699.4932,1,ON_SUBSTITUTE_PLACE,550,42,0
Listherby Sandra,FÅ,AHV,644.1908,1,NOT_ELECTED,386,40,1
Kautio Kimmo,VL,HÄM,477.30478,0,NOT_ELECTED,329,40,0
Kauko Niko A.,VL,HÄM,273.59164,1,NOT_ELECTED,615,47,0
Haapasalo Jukka,VL,HÄM,182.21065,0,NOT_ELECTED,65,51,0
Koski Piia,VL,HÄM,166.6535,0,NOT_ELECTED,135,34,1
Kälviäinen Veli-Matti,VL,HÄM,164.4779,0,NOT_ELECTED,108,41,0
Vuorinen Jari,VL,HÄM,126.734856,0,NOT_ELECTED,46,58,0
Frondelius Petra,VL,HÄM,126.21571,0,NOT_ELECTED,146,49,1
Oja Sannamaria,VKK,HÄM,180.00514,0,NOT_ELECTED,101,46,1
Metsäranta Tiina,VKK,HÄM,165.44275,0,NOT_ELECTED,188,46,1
Finérus Pia-Kristina,VKK,HÄM,136.00452,0,NOT_ELECTED,52,54,1
Vastamäki Esa,VKK,HÄM,133.82892,0,NOT_ELECTED,21,56,0
Raitala Anssi,VKK,HÄM,131.93147,0,NOT_ELECTED,137,37,0
Palomäki Ari,VKK,HÄM,131.93147,0,NOT_ELECTED,35,42,0
Lehtimäki Juha,VKK,HÄM,108.11071,0,NOT_ELECTED,45,75,0
Soinikoski Mirka,VIHR,HÄM,2203.3523,1,NOT_ELECTED,1816,47,1
Kranni Maija,VIHR,HÄM,1549.9205,0,NOT_ELECTED,883,29,1
Jokinen Sari Susanna,VIHR,HÄM,1344.898,1,NOT_ELECTED,1467,48,1
Kastehelmi Minerva,VIHR,HÄM,1329.7266,0,NOT_ELECTED,2180,25,1
Heinonen Satu,VIHR,HÄM,1056.7719,0,NOT_ELECTED,214,43,1
Avelin Venla,VIHR,HÄM,888.8804,0,NOT_ELECTED,615,39,1
Laine Teemu,VIHR,HÄM,738.8455,0,NOT_ELECTED,735,46,0
Joutsenlahti Riitta-Liisa,VIHR,HÄM,389.2723,0,NOT_ELECTED,85,59,1
Varjus Petra,VIHR,HÄM,369.44006,0,NOT_ELECTED,257,18,1
Mäntylä Aleksi,VIHR,HÄM,325.2135,0,NOT_ELECTED,403,43,0
Halonen Teppo,VIHR,HÄM,289.1193,0,NOT_ELECTED,247,28,0
Laakso Timo,VIHR,HÄM,265.5173,0,NOT_ELECTED,80,67,0
Helanen Kuura,VIHR,HÄM,248.60336,0,NOT_ELECTED,459,42,0
Laitinen Kirsi-Marja,VIHR,HÄM,214.52052,1,NOT_ELECTED,377,62,1
Pekonen Aino-Kaisa,VAS,HÄM,7272.879,1,ELECTED,4251,44,1
Lientola Elisa,VAS,HÄM,2364.9285,0,NOT_ELECTED,1315,44,1
Pikkarainen Harri,VAS,HÄM,1858.4213,0,ON_SUBSTITUTE_PLACE,1353,49,0
Reima Aapo,VAS,HÄM,1273.418,0,NOT_ELECTED,1296,21,0
Kupiainen Anna Kaisa,VAS,HÄM,921.93994,1,NOT_ELECTED,589,34,1
Päätalo Oskari,VAS,HÄM,567.5254,1,NOT_ELECTED,634,19,0
Kirkkola-Helenius Tarja,VAS,HÄM,556.1611,0,NOT_ELECTED,456,61,1
Juurus Pirkko,VAS,HÄM,498.2343,0,NOT_ELECTED,429,40,1
Auvinen Sari,VAS,HÄM,482.05493,0,NOT_ELECTED,501,49,1
Päivärinta Nina,VAS,HÄM,396.02957,0,NOT_ELECTED,310,43,1
Viksten Satu,VAS,HÄM,355.19635,0,NOT_ELECTED,693,35,1
Marttila Katri,VAS,HÄM,342.8771,0,NOT_ELECTED,120,50,1
Siivonen Hannu,VAS,HÄM,293.47208,0,NOT_ELECTED,87,40,0
Kulonen Jussi,VAS,HÄM,288.37302,0,NOT_ELECTED,137,46,0
Haukka Juha,SKP,HÄM,95.50185,0,NOT_ELECTED,117,62,0
Gryning Samuel,SKE,HÄM,619.48535,0,NOT_ELECTED,63,41,0
Viheraho Pasi,SKE,HÄM,126.734856,0,NOT_ELECTED,512,57,0
Anttolainen Terho,SKE,HÄM,98.40053,0,NOT_ELECTED,37,60,0
Filatov Tarja,SDP,HÄM,7875.703,1,ELECTED,6973,59,1
Skinnari Ville,SDP,HÄM,7004.98,1,ELECTED,5983,49,0
Kari Mika,SDP,HÄM,6109.9663,1,ELECTED,6090,55,0
Koskinen Johannes,SDP,HÄM,4991.9775,1,ELECTED,5009,68,0
Hildén Sirkku,SDP,HÄM,4426.7856,1,NOT_ELECTED,3814,46,1
Markkanen Marju,SDP,HÄM,3521.1467,1,ON_SUBSTITUTE_PLACE,4426,50,1
Lintonen Emmi,SDP,HÄM,3374.1104,1,NOT_ELECTED,3873,36,1
Lehtinen Eemeli,SDP,HÄM,2569.0295,1,NOT_ELECTED,1425,30,0
Lehtimäki Kirsi,SDP,HÄM,2504.4043,1,NOT_ELECTED,3516,56,1
Jormanainen Lauri,SDP,HÄM,1871.5273,1,NOT_ELECTED,2441,41,0
Viitanen Timo,SDP,HÄM,1773.1356,1,NOT_ELECTED,1323,40,0
Olkinuora Piia,SDP,HÄM,1075.5354,1,NOT_ELECTED,1650,43,1
Tammilehto Noora,SDP,HÄM,969.605,0,NOT_ELECTED,2068,34,1
Teräs Vesa,SDP,HÄM,952.5204,0,NOT_ELECTED,546,48,0
Ikävalko Sara,RKP,HÄM,245.25308,0,NOT_ELECTED,217,40,1
Tyyskä Pia,RKP,HÄM,216.39688,1,NOT_ELECTED,160,47,1
Nikander Pancho,RKP,HÄM,131.93147,0,NOT_ELECTED,30,42,0
Kaleva Petteri,RKP,HÄM,116.147964,0,NOT_ELECTED,98,60,0
Ylirotu Nikolai,RKP,HÄM,112.89592,0,NOT_ELECTED,54,54,0
Ranne Lulu,PS,HÄM,8216.167,1,ELECTED,10665,51,1
Lehto Rami,PS,HÄM,7700.909,1,ON_SUBSTITUTE_PLACE,4339,50,0
Nieminen Mira,PS,HÄM,6527.3633,1,ELECTED,5388,47,1
Ronkainen Jari,PS,HÄM,6039.5884,1,ELECTED,4820,50,0
Elomaa Ville-Veikko,PS,HÄM,4672.586,1,NOT_ELECTED,2984,52,0
Kuparinen Pia,PS,HÄM,3322.1099,1,NOT_ELECTED,1368,53,1
Granlund Saija,PS,HÄM,3279.4807,1,NOT_ELECTED,1863,42,1
Suomalainen Kari,PS,HÄM,2490.0542,0,NOT_ELECTED,1073,50,0
Sorsa Tuomas,PS,HÄM,2226.6558,1,NOT_ELECTED,3815,31,0
Heikkinen Jari,PS,HÄM,1705.9753,0,NOT_ELECTED,1394,42,0
Lehtinen Rami,PS,HÄM,1236.7185,1,ELECTED,5636,47,0
Ekman Johanna,PS,HÄM,1149.7676,1,NOT_ELECTED,4146,36,1
Lartama Mika,PS,HÄM,1116.2104,1,NOT_ELECTED,1559,60,0
Gustafsson Jade,PS,HÄM,996.3718,1,NOT_ELECTED,1561,40,1
Kohonen Leinard,PIR,HÄM,111.76762,0,NOT_ELECTED,99,30,1
Saloranta Tuija,LIIK,HÄM,2259.5876,0,NOT_ELECTED,1208,51,1
Lehtilä-Salmi Heli,LIIK,HÄM,810.06165,0,NOT_ELECTED,786,46,1
Tuomaila Pasi,LIIK,HÄM,348.26172,0,NOT_ELECTED,493,53,0
Petro Peter,LIIK,HÄM,344.48734,0,NOT_ELECTED,781,45,0
Sormunen Pasi,LIIK,HÄM,250.68845,0,NOT_ELECTED,907,51,0
Kankaanpää Toni,LIIK,HÄM,226.5703,0,NOT_ELECTED,311,40,0
Redsven Petteri,LIIK,HÄM,223.32722,1,NOT_ELECTED,304,47,0
Kuukasjärvi Harri,LIIK,HÄM,222.30498,0,NOT_ELECTED,730,35,0
Mikkola Matti,LIIK,HÄM,191.40263,1,NOT_ELECTED,160,75,0
Kekki Kyösti,LIIK,HÄM,184.43217,0,NOT_ELECTED,65,64,0
Hänninen Jarmo,LIIK,HÄM,155.21854,0,NOT_ELECTED,80,44,0
Jumppanen Timo,LIIK,HÄM,145.35747,0,NOT_ELECTED,112,35,0
Karjalainen Maarika,LIIK,HÄM,135.82565,0,NOT_ELECTED,411,51,1
Gutzén-Kuparinen Mirka,LIIK,HÄM,134.84784,0,NOT_ELECTED,152,53,1
Nieminen Mira,LIBE,HÄM,685.7898,0,NOT_ELECTED,145,37,1
Lähteenmäki Laura,LIBE,HÄM,273.2835,0,NOT_ELECTED,286,32,1
Pakarinen Eerik,LIBE,HÄM,187.99231,0,NOT_ELECTED,148,31,0
Lehtisalo Tiia,LIBE,HÄM,179.649,0,NOT_ELECTED,145,31,1
Minkkinen Jouni,LIBE,HÄM,108.02091,0,NOT_ELECTED,74,53,0
Hallikainen Outi,KRIP,HÄM,147.13284,0,NOT_ELECTED,377,51,1
Sajeva Maurizio,KRIP,HÄM,119.13821,0,NOT_ELECTED,111,50,0
Grahn-Laasonen Sanni,KOK,HÄM,9974.18,1,ELECTED,7003,39,1
Heinonen Timo,KOK,HÄM,9967.164,1,ELECTED,7402,48,0
Bruneau Milla,KOK,HÄM,7112.585,1,ON_SUBSTITUTE_PLACE,4499,50,1
Walkamo Mika,KOK,HÄM,5181.424,1,NOT_ELECTED,2484,60,0
Niinistö Sari,KOK,HÄM,4000.7732,1,NOT_ELECTED,3969,53,1
Kinnari Teemu,KOK,HÄM,2953.959,1,ELECTED,7366,49,0
Väli-Torala Venla,KOK,HÄM,2452.675,0,NOT_ELECTED,1356,25,1
Lehkonen Helena,KOK,HÄM,1963.8564,1,NOT_ELECTED,2227,55,1
Närkki Aino,KOK,HÄM,1899.2776,0,NOT_ELECTED,627,66,1
Ahtiainen Marko,KOK,HÄM,1885.1906,0,NOT_ELECTED,1287,52,0
Rautapää Teresa,KOK,HÄM,1332.1624,1,NOT_ELECTED,913,34,1
Kontturi Maija,KOK,HÄM,1071.909,1,NOT_ELECTED,1252,37,1
Viljanen Ilkka,KOK,HÄM,1013.357,1,NOT_ELECTED,2540,62,0
Rive Sami,KOK,HÄM,862.9014,1,NOT_ELECTED,1630,53,0
Rehula Juha,KESK,HÄM,4448.0317,1,ON_SUBSTITUTE_PLACE,2632,59,0
Kemppi Hilkka,KESK,HÄM,4097.9966,1,ELECTED,5312,34,1
Häggman Johanna,KESK,HÄM,3649.972,1,NOT_ELECTED,2339,51,1
Suhonen Kaarina,KESK,HÄM,1289.7574,1,NOT_ELECTED,978,53,1
Niemelä Asko,KESK,HÄM,806.2422,0,NOT_ELECTED,838,44,0
Halinen Helena,KESK,HÄM,606.9902,1,NOT_ELECTED,1744,55,1
Ruuskanen Kristiina,KESK,HÄM,587.11646,1,NOT_ELECTED,793,41,1
Mäentalo Mika,KESK,HÄM,528.54614,0,NOT_ELECTED,525,54,0
Savelainen Atte,KESK,HÄM,501.42706,1,NOT_ELECTED,1306,52,0
Määttä Petri,KESK,HÄM,464.06293,0,NOT_ELECTED,323,48,0
Kaunisto Jyri,KESK,HÄM,439.84262,0,NOT_ELECTED,710,40,0
Ala-Röyskö Santeri,KESK,HÄM,420.15213,0,NOT_ELECTED,129,25,0
Uotila Touko,KESK,HÄM,331.01572,0,NOT_ELECTED,57,23,0
Hahl Laura,KESK,HÄM,253.22821,0,NOT_ELECTED,216,27,1
Räsänen Päivi,KD,HÄM,8636.453,1,ELECTED,6968,63,1
Aitto-Oja Piia,KD,HÄM,614.6604,0,NOT_ELECTED,473,45,1
Hovi Iida,KD,HÄM,499.68973,0,NOT_ELECTED,479,35,1
Saari Hannele,KD,HÄM,452.35922,0,NOT_ELECTED,480,56,1
Forsman Juha-Pekka,KD,HÄM,441.29712,0,NOT_ELECTED,129,62,0
Syväntö Vuokko,KD,HÄM,428.91095,0,NOT_ELECTED,164,56,1
Loponen Marjo,KD,HÄM,374.83276,1,ON_SUBSTITUTE_PLACE,1040,56,1
Kallio Kari,KD,HÄM,341.96796,0,NOT_ELECTED,150,72,0
Turkkinen Ville,KD,HÄM,289.739,0,NOT_ELECTED,315,42,0
Auvinen Risto,KD,HÄM,270.93396,0,NOT_ELECTED,375,58,0
Markkanen Aleksi,KD,HÄM,254.21701,0,NOT_ELECTED,161,44,0
Melanen Ville,KD,HÄM,253.29596,0,NOT_ELECTED,160,45,0
Smeds Marko,KD,HÄM,249.29384,0,NOT_ELECTED,161,37,0
Peltonen Susanna,KD,HÄM,234.49028,0,NOT_ELECTED,389,54,1
Sarell Tiia,EOP,HÄM,134.10707,0,NOT_ELECTED,432,40,1
Ulmanen Maija-Sofia,VL,PIR,189.38985,0,NOT_ELECTED,273,36,1
Karvonen Matti,VL,PIR,185.13663,0,NOT_ELECTED,185,38,0
Kulmala Taru,VL,PIR,166.6535,0,NOT_ELECTED,106,35,1
Messi Tommi,VL,PIR,151.87444,0,NOT_ELECTED,72,43,0
Kuusela Harri,VL,PIR,146.87082,0,NOT_ELECTED,158,51,0
Salomaa Minna,VL,PIR,129.9318,0,NOT_ELECTED,126,59,1
Kuusjärvi Pauli,VL,PIR,127.92763,0,NOT_ELECTED,104,31,0
Virtanen Kari,VL,PIR,127.756195,0,NOT_ELECTED,1779,59,0
Tenhunen Pekka,VL,PIR,102.2743,0,NOT_ELECTED,63,58,0
Lehtonen Tiina,VL,PIR,95.91292,0,NOT_ELECTED,36,57,1
Simola Matti,VL,PIR,91.962906,0,NOT_ELECTED,24,68,0
Alafrantti Toni,VKK,PIR,157.94063,0,NOT_ELECTED,146,47,0
Palmroth Ruben,VKK,PIR,151.91565,0,NOT_ELECTED,46,22,0
Holma Kimmo,VKK,PIR,133.82892,0,NOT_ELECTED,216,54,0
Miettinen Mikko,VKK,PIR,125.394196,0,NOT_ELECTED,99,45,0
Suomela Iiris,VIHR,PIR,7904.346,1,NOT_ELECTED,2570,28,1
Tynkkynen Oras,VIHR,PIR,5685.261,1,ELECTED,5401,45,0
Mustakallio Jaakko,VIHR,PIR,3377.7751,0,NOT_ELECTED,2581,35,0
Jussila Perttu,VIHR,PIR,2275.053,1,NOT_ELECTED,1502,32,0
Helimo Matti,VIHR,PIR,1927.6202,0,NOT_ELECTED,673,46,0
Haapa-Aho Olga,VIHR,PIR,1609.8948,0,NOT_ELECTED,560,35,1
Çaglayan Merve,VIHR,PIR,1509.6007,0,NOT_ELECTED,451,29,1
Sangervo Julia,VIHR,PIR,1187.9196,1,ON_SUBSTITUTE_PLACE,3748,29,1
Wesslin Tiina,VIHR,PIR,1170.3779,0,NOT_ELECTED,1109,56,1
Lahikainen Stiina,VIHR,PIR,1143.3611,0,NOT_ELECTED,443,42,1
Järvisalo Vilma,VIHR,PIR,1033.55,0,NOT_ELECTED,564,30,1
Moilanen Anna,VIHR,PIR,996.1873,0,NOT_ELECTED,464,41,1
Repo Sirpa,VIHR,PIR,908.6019,0,NOT_ELECTED,774,42,1
Räsänen Kaisa,VIHR,PIR,748.9903,1,NOT_ELECTED,485,47,1
Suoniemi Juhana,VIHR,PIR,675.0127,0,NOT_ELECTED,401,53,0
Pehkonen Ninni,VIHR,PIR,479.11487,0,NOT_ELECTED,469,42,1
Halttula Timo,VIHR,PIR,426.88663,0,NOT_ELECTED,206,54,0
Hänninen Iina,VIHR,PIR,366.08618,0,NOT_ELECTED,645,26,1
Von Knorring Tanja,VIHR,PIR,330.3552,0,NOT_ELECTED,76,63,1
Kujansuu Nuutti,VIHR,PIR,308.01807,0,NOT_ELECTED,119,19,0
Kontula Anna,VAS,PIR,6703.009,1,ELECTED,4909,46,1
Minkkinen Minna,VAS,PIR,3702.8396,1,ON_SUBSTITUTE_PLACE,2751,38,1
Lindén Lauri,VAS,PIR,3190.5747,0,NOT_ELECTED,811,21,0
Aaltonen Mikko,VAS,PIR,1930.4047,0,NOT_ELECTED,968,47,0
Sheikh Liban,VAS,PIR,1822.2179,0,NOT_ELECTED,1665,33,0
Nyman Anne,VAS,PIR,1811.2706,1,NOT_ELECTED,2340,58,1
Saarela Leena,VAS,PIR,1256.1818,0,NOT_ELECTED,839,58,1
Rask Virva-Mari,VAS,PIR,1139.2004,0,NOT_ELECTED,730,44,1
Niemi Aapo,VAS,PIR,1018.3696,1,NOT_ELECTED,612,41,0
Leppänen Aki,VAS,PIR,845.36755,0,NOT_ELECTED,451,38,0
Holopainen Selmi,VAS,PIR,808.8589,0,NOT_ELECTED,1193,23,1
Hautanen Teija,VAS,PIR,777.0728,0,NOT_ELECTED,559,51,1
Kosola Satu,VAS,PIR,762.31915,0,NOT_ELECTED,632,55,1
Kotalampi Katja,VAS,PIR,704.8521,0,NOT_ELECTED,462,34,1
Sirkesalo Sohvi,VAS,PIR,635.66376,0,NOT_ELECTED,335,61,1
Löf Mirka,VAS,PIR,474.4658,0,NOT_ELECTED,461,41,1
Lind Mari,VAS,PIR,376.42258,0,NOT_ELECTED,616,53,1
Aakus Katariina,VAS,PIR,269.94254,0,NOT_ELECTED,324,26,1
Turunen Esko,VAS,PIR,262.26126,0,NOT_ELECTED,201,67,0
Ilmaniemi Toni,VAS,PIR,244.16354,0,NOT_ELECTED,448,31,0
Jalonen Jasmina,SML,PIR,203.66867,0,NOT_ELECTED,29,27,1
Rantanen Tapio,SML,PIR,185.13663,0,NOT_ELECTED,15,35,0
Hokkanen Lauri,SML,PIR,153.29941,0,NOT_ELECTED,100,31,0
Kalliola Jarmo,SML,PIR,152.21692,0,NOT_ELECTED,18,59,0
Sipola Johannes,SML,PIR,152.02205,0,NOT_ELECTED,10,30,0
Veikkola Aleksi,SML,PIR,140.02788,0,NOT_ELECTED,22,27,0
Nordman Petri,SML,PIR,131.93147,0,NOT_ELECTED,14,35,0
Helleharju Toni,SML,PIR,131.93147,0,NOT_ELECTED,10,38,0
Vahtola Pasi,SML,PIR,131.93147,0,NOT_ELECTED,7,37,0
Salonen Joni,SML,PIR,131.93147,0,NOT_ELECTED,3,36,0
Karinen Riitta-Liisa,SML,PIR,127.56981,0,NOT_ELECTED,1,45,1
Niemi Antti,SML,PIR,125.394196,0,NOT_ELECTED,42,47,0
Ahtimaa Jarno,SML,PIR,121.869774,0,NOT_ELECTED,10,30,0
Hokkanen Suvi,SML,PIR,121.54482,0,NOT_ELECTED,20,25,1
Jokipii Kainu,SML,PIR,121.54482,0,NOT_ELECTED,9,27,1
Annala Paavo,SML,PIR,119.36923,0,NOT_ELECTED,17,24,0
Kettunen Pertti,SML,PIR,119.36923,0,NOT_ELECTED,14,22,0
Lehtimäki Mikko,SML,PIR,119.36923,0,NOT_ELECTED,4,21,0
Lindeman Anton,SML,PIR,119.36923,0,NOT_ELECTED,4,23,0
Kiemunki Terhi,SML,PIR,111.54388,0,NOT_ELECTED,20,56,1
Packalén Petra,SKP,PIR,455.934,0,NOT_ELECTED,137,39,1
Grönfors Mervi,SKP,PIR,230.99915,0,NOT_ELECTED,75,61,1
Suhonen Vesa,SKP,PIR,144.783,0,NOT_ELECTED,68,38,0
Sulander Lauri,SKP,PIR,131.93147,0,NOT_ELECTED,42,39,0
Tapanainen Bex,SKP,PIR,111.72594,0,NOT_ELECTED,63,21,1
Hollo Taina,SKP,PIR,100.57612,0,NOT_ELECTED,33,60,1
Soimajärvi Riitta,SKP,PIR,89.140465,0,NOT_ELECTED,4,62,1
Särkkä Risto,SKP,PIR,86.991554,0,NOT_ELECTED,36,70,0
Selin Olavi,SKP,PIR,86.991554,0,NOT_ELECTED,15,75,0
Karttunen Mika,SKE,PIR,138.91856,0,NOT_ELECTED,83,51,0
Marin Sanna,SDP,PIR,15324.331,1,ELECTED,35628,37,1
Nurminen Ilmari,SDP,PIR,9752.666,1,ELECTED,4781,32,0
Viitanen Pia,SDP,PIR,7105.785,1,ELECTED,4112,55,1
Asell Marko,SDP,PIR,6249.909,1,ELECTED,4540,52,0
Lyly Lauri,SDP,PIR,5749.202,1,ELECTED,4533,70,0
Tolvanen Taru,SDP,PIR,3338.0469,0,NOT_ELECTED,2045,40,1
Laine Hanna,SDP,PIR,3228.7524,1,NOT_ELECTED,2483,51,1
Loukaskorpi Johanna,SDP,PIR,2677.9355,0,NOT_ELECTED,2256,48,1
Kumlander Joni,SDP,PIR,1781.9913,1,NOT_ELECTED,2379,46,0
Julin Sofia,SDP,PIR,1728.1412,0,NOT_ELECTED,919,24,1
Jokinen Jenni,SDP,PIR,1609.451,0,NOT_ELECTED,1276,40,1
Kuusipalo Saana,SDP,PIR,1608.6775,1,NOT_ELECTED,1540,26,1
